train/n_updates,time/time_elapsed,time/episodes,time/fps,rollout/success_rate,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean
52099,946,348,55,0.33,1.4943779706954956,-0.8108917474746704,0.0003,0.0020216554403305054,52200,150.0,0.0012138730380684137,-10.224517460000001
52699,957,352,55,0.34,1.6655492782592773,-1.7474772930145264,0.0003,0.002514498308300972,52800,150.0,0.0011937745148316026,-9.93800211
53299,969,356,55,0.35,1.813468098640442,-0.09478496015071869,0.0003,0.001816227799281478,53400,150.0,0.0012081228196620941,-9.67514091
53899,981,360,55,0.36,1.8132818937301636,-3.0892162322998047,0.0003,0.0017995955422520638,54000,150.0,0.0011919270036742091,-9.79431958
54499,992,364,54,0.38,1.9319627285003662,-1.0797029733657837,0.0003,0.0023255955893546343,54600,150.0,0.001159497071057558,-9.707020140000001
55099,1004,368,54,0.39,2.397226333618164,4.413753986358643,0.0003,0.002704815473407507,55200,150.0,0.0011446602875366807,-9.534453449999999
55699,1015,372,54,0.42,2.2806155681610107,-1.4449584484100342,0.0003,0.0018230865243822336,55800,150.0,0.0011232176329940557,-9.410825809999999
56299,1026,376,54,0.44,2.3719000816345215,0.4623524844646454,0.0003,0.0018145015928894281,56400,150.0,0.0010831706458702683,-9.1599905
56899,1038,380,54,0.45,2.3942208290100098,-2.506437063217163,0.0003,0.002383175306022167,57000,150.0,0.0010818508453667164,-9.24680068
57499,1049,384,54,0.46,2.763929843902588,1.5448251962661743,0.0003,0.0023358482867479324,57600,150.0,0.0010787415085360408,-9.13509031
58099,1060,388,54,0.46,2.4874541759490967,-1.8417863845825195,0.0003,0.001939065637998283,58200,150.0,0.0010585937416180968,-9.21561009
58699,1072,392,54,0.47,2.740363836288452,-1.3576096296310425,0.0003,0.0020101824775338173,58800,150.0,0.0010265513556078076,-9.13566053
59299,1083,396,54,0.46,2.8306822776794434,-0.8440361022949219,0.0003,0.0018534031696617603,59400,150.0,0.0010389754315838218,-9.326105270000001
59899,1095,400,54,0.46,3.0306880474090576,-3.087568759918213,0.0003,0.0021593989804387093,60000,150.0,0.0010305210016667843,-9.28939944
60499,1106,404,54,0.46,3.1016335487365723,4.916240215301514,0.0003,0.0018691476434469223,60600,150.0,0.0010384063934907317,-9.193435650000001
61099,1118,408,54,0.48,3.0391268730163574,0.7802310585975647,0.0003,0.002180189825594425,61200,150.0,0.0010309141362085938,-9.056205720000001
61699,1130,412,54,0.48,3.2294111251831055,0.6621763706207275,0.0003,0.001565681304782629,61800,150.0,0.001057834830135107,-8.98157314
62299,1142,416,54,0.45,3.3031938076019287,0.313035249710083,0.0003,0.002040138700976968,62400,150.0,0.0010453008580952883,-9.159880800000002
62899,1153,420,54,0.45,2.9995882511138916,1.2515732049942017,0.0003,0.001973632723093033,63000,150.0,0.001035457942634821,-9.1734403
63499,1165,424,54,0.47,3.147531509399414,0.8018981218338013,0.0003,0.002931579714640975,63600,150.0,0.0010616050567477942,-9.11634674
64099,1176,428,54,0.45,3.385359048843384,-2.1485471725463867,0.0003,0.001767919398844242,64200,150.0,0.0010538122151046991,-9.51544169
64699,1188,432,54,0.44,3.5813984870910645,2.415158271789551,0.0003,0.002676110714673996,64800,150.0,0.001033744658343494,-9.82727304
65299,1199,436,54,0.45,3.459625720977783,0.2046857476234436,0.0003,0.002158520510420203,65400,150.0,0.0010474668815732002,-9.71359107
65899,1211,440,54,0.46,3.54604434967041,-1.0408470630645752,0.0003,0.002601586515083909,66000,150.0,0.0010592830367386341,-9.80390543
66499,1223,444,54,0.45,3.598057270050049,-2.72296404838562,0.0003,0.002548841293901205,66600,150.0,0.001042244373820722,-9.708547699999999
