rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/learning_rate,train/std,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range
-7.966556720000001,139264,150.0,277,68,502,0.0003,0.5670970678329468,670,-5.98956730812788,-0.006479105330072343,0.8709288388490677,0.005771908909082413,0.2697265625,0.021925835,0.006306942025548779,0.2
-7.888485960000001,141312,150.0,281,69,502,0.0003,0.5576319098472595,680,-5.86645919829607,-0.0035091490201011764,0.8504738360643387,0.015549471601843834,0.280908203125,0.0233617,0.00508498202325427,0.2
-7.75959825,143360,150.0,285,70,502,0.0003,0.5461934804916382,690,-5.732581444084644,-0.004491090890951455,0.865044116973877,-0.03820447623729706,0.256494140625,0.0216675,0.004327198819373735,0.2
-7.65626015,145408,150.0,289,71,502,0.0003,0.5354915261268616,700,-5.592699670791626,-0.0033887386656715535,0.9166993573307991,0.006667480804026127,0.293359375,0.027260413,0.0038505038308358054,0.2
-7.51462816,147456,150.0,293,72,502,0.0003,0.5288175940513611,710,-5.483861199021339,-0.005606122310564387,0.8947003930807114,-0.03231856971979141,0.32119140625,0.0258164,0.004141857926151715,0.2
-7.393580439999999,149504,150.0,297,73,503,0.0003,0.5230333209037781,720,-5.39781751036644,-0.006240999605506658,0.8677501678466797,-0.018510429188609123,0.300634765625,0.022312257,0.004021917708450928,0.2
-7.24496684,151552,150.0,301,74,503,0.0003,0.5135699510574341,730,-5.289055481553078,-0.003843291194061749,0.8303032219409943,0.009247382171452045,0.29482421875,0.025946151,0.0031664152869780083,0.2
-7.1602737,153600,150.0,305,75,503,0.0003,0.5025245547294617,740,-5.144659061729908,0.0008028785930946469,0.8786507546901703,0.00377458892762661,0.280908203125,0.021465113,0.002980477454184438,0.2
-7.043008050000002,155648,150.0,309,76,503,0.0003,0.49237558245658875,750,-4.99538916349411,-0.007017784706840757,0.9297248646616936,0.0354849249124527,0.31708984375,0.03130076,0.0025319116120954277,0.2
-6.97363429,157696,150.0,313,77,503,0.0003,0.4839365780353546,760,-4.872887107729912,-0.005837110258289613,0.9046899452805519,-0.0037402925081551075,0.298876953125,0.025808338,0.0025018523527251093,0.2
-6.8798935199999995,159744,150.0,317,78,503,0.0003,0.4738397002220154,770,-4.73740563839674,-0.006829576370364521,0.9332572966814041,-0.010871784761548042,0.308544921875,0.027378319,0.0028077611492335563,0.2
