time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/learning_rate,time/time_elapsed,train/n_updates,rollout/success_rate,train/ent_coef,time/episodes,train/ent_coef_loss
52,86.81803131103516,-150.0,150.0,58200,0.010509605519473553,0.0003,1112,58099,0.0,0.0009761667461134493,388,-3.1288015842437744
52,87.194580078125,-150.0,150.0,58800,0.010061675682663918,0.0003,1124,58699,0.0,0.0009068649378605187,392,-2.8399691581726074
52,87.54454803466797,-150.0,150.0,59400,0.006803479045629501,0.0003,1136,59299,0.0,0.0009671588777564466,396,-0.44848665595054626
52,87.73426818847656,-150.0,150.0,60000,0.00813501700758934,0.0003,1148,59899,0.0,0.0009521208703517914,400,0.9374319314956665
52,88.14872741699219,-150.0,150.0,60600,0.007179589476436377,0.0003,1159,60499,0.0,0.0009337514638900757,404,-4.5948638916015625
52,88.40406036376953,-150.0,150.0,61200,0.010112056508660316,0.0003,1172,61099,0.0,0.0008964364533312619,408,-1.6862637996673584
52,88.67884063720703,-150.0,150.0,61800,0.007686370052397251,0.0003,1183,61699,0.0,0.0008845426491461694,412,1.1539469957351685
52,89.10261535644531,-150.0,150.0,62400,0.027363961562514305,0.0003,1194,62299,0.0,0.0008680348400957882,416,-3.5497026443481445
52,89.234619140625,-150.0,150.0,63000,0.0067753572948277,0.0003,1206,62899,0.0,0.0008462077821604908,420,0.013172328472137451
52,89.49744415283203,-150.0,150.0,63600,0.009085049852728844,0.0003,1217,63499,0.0,0.0008561801514588296,424,1.0080868005752563
52,89.81800842285156,-150.0,150.0,64200,0.007784387096762657,0.0003,1229,64099,0.0,0.000868410337716341,428,0.41786015033721924
52,90.04069519042969,-150.0,150.0,64800,0.005807629320770502,0.0003,1240,64699,0.0,0.0008147770422510803,432,0.08107537031173706
52,90.29090118408203,-150.0,150.0,65400,0.00715855835005641,0.0003,1252,65299,0.0,0.0008240905590355396,436,2.227428436279297
