time/fps,train/ent_coef_loss,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/success_rate,train/critic_loss,train/ent_coef,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/actor_loss,train/n_updates
54,-0.6779861450195312,-39.31407603,424,3128,0.01,0.21041852235794067,0.018413497135043144,423100,0.0003,50.0,17.391813278198242,422999
54,1.3379430770874023,-39.04554221,428,3132,0.01,0.2011503428220749,0.01836479641497135,423300,0.0003,50.0,17.885269165039062,423199
54,-1.784859299659729,-39.00951584,431,3136,0.01,0.2774624228477478,0.018252037465572357,423500,0.0003,50.0,16.110877990722656,423399
54,2.9739129543304443,-39.12196581999999,435,3140,0.01,0.29353344440460205,0.018309656530618668,423700,0.0003,50.0,18.434188842773438,423599
54,-6.073966026306152,-39.362976059999994,438,3144,0.01,0.6782697439193726,0.018227936699986458,423900,0.0003,50.0,16.036848068237305,423799
54,-2.2031753063201904,-39.26882521,442,3148,0.02,0.25259312987327576,0.018049290403723717,424100,0.0003,50.0,16.318939208984375,423999
54,2.258631944656372,-39.914126069999995,446,3152,0.02,0.421021044254303,0.017938511446118355,424300,0.0003,50.0,17.71791648864746,424199
54,-0.28853559494018555,-38.761783099999995,449,3156,0.02,0.1646524965763092,0.017635416239500046,424500,0.0003,50.0,17.08781623840332,424399
54,-1.5234624147415161,-38.54746164,453,3160,0.02,0.26111656427383423,0.01761312037706375,424700,0.0003,50.0,17.378217697143555,424599
54,3.940720796585083,-38.17954657,457,3164,0.02,0.29324841499328613,0.01780722476541996,424900,0.0003,50.0,17.945796966552734,424799
54,-0.226408451795578,-37.617237159999995,460,3168,0.02,0.697728157043457,0.017740854993462563,425100,0.0003,50.0,17.59733772277832,424999
54,-1.592846155166626,-38.22106650999999,464,3172,0.02,0.19216665625572205,0.017832521349191666,425300,0.0003,50.0,16.576751708984375,425199
54,-0.6588274836540222,-38.933826620000005,468,3176,0.02,0.2441682517528534,0.017715012654662132,425500,0.0003,50.0,16.577421188354492,425399
54,1.8924109935760498,-38.874287290000005,471,3180,0.02,0.2579987049102783,0.01770515739917755,425700,0.0003,50.0,18.024398803710938,425599
54,0.6236488223075867,-38.958659540000006,475,3184,0.02,0.7509583234786987,0.017604917287826538,425900,0.0003,50.0,17.354732513427734,425799
54,-4.802178382873535,-40.39764165,478,3188,0.02,0.18138810992240906,0.017890555784106255,426100,0.0003,50.0,16.016143798828125,425999
54,-3.6006956100463867,-40.22023545,482,3192,0.02,0.2503772974014282,0.01812763325870037,426300,0.0003,50.0,16.156455993652344,426199
54,-0.28716766834259033,-39.48131439,486,3196,0.03,0.4274848997592926,0.018075041472911835,426500,0.0003,50.0,18.114500045776367,426399
54,1.141861915588379,-39.49488882,489,3200,0.03,0.384530246257782,0.018010104075074196,426700,0.0003,50.0,18.932941436767578,426599
54,0.33757635951042175,-38.89130043,493,3204,0.03,0.2314298450946808,0.017868056893348694,426900,0.0003,50.0,17.41779136657715,426799
54,3.6423470973968506,-38.27249416,497,3208,0.02,0.9843378067016602,0.017872070893645287,427100,0.0003,50.0,18.07250213623047,426999
54,-0.35746464133262634,-36.01450554,500,3212,0.02,0.186699777841568,0.017864273861050606,427300,0.0003,50.0,16.55492401123047,427199
