time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/clip_fraction,train/explained_variance,train/loss,train/policy_gradient_loss,train/std
218,700416,450,150.0,-100.76485795,48,0.0003,-0.07697086334228516,74.4704515993595,0.2,3410,0.065413475,0.34072265625,0.9436867609620094,23.263050079345703,-0.00664088295889087,0.24563701450824738
222,702464,450,150.0,-92.39257743,49,0.0003,-0.059643201902508734,51.050112198293206,0.2,3420,0.07835592,0.4341796875,0.9447316490113735,6.659646034240723,0.002525561493530404,0.2444481998682022
226,704512,451,150.0,-92.97973650000002,50,0.0003,-0.07327202931046486,12.377470318600535,0.2,3430,0.46332777,0.541357421875,0.9729510676115751,1.088517427444458,0.01476253210566938,0.24672773480415344
231,706560,451,150.0,-91.36420331000001,51,0.0003,-0.10948764197528363,37.580711705237626,0.2,3440,0.17910334,0.47568359375,0.9394710920751095,6.595968723297119,0.01259904778416967,0.24712245166301727
236,708608,450,150.0,-93.74606857999999,52,0.0003,-0.12307974249124527,27.78432568311691,0.2,3450,0.07320841,0.3947265625,0.9176260754466057,2.799463987350464,-0.004534077693824657,0.24755339324474335
240,710656,451,150.0,-97.69499342999998,53,0.0003,-0.12363648191094398,36.26986590623856,0.2,3460,0.12841254,0.459912109375,0.9380873367190361,7.222867488861084,0.006634062847297173,0.247095987200737
244,712704,451,150.0,-93.98204514000001,54,0.0003,-0.11742360256612301,46.96209113448858,0.2,3470,0.13152578,0.45390625,0.9370583891868591,5.3115129470825195,0.010553187023469945,0.2469431310892105
249,714752,451,150.0,-94.2623134,55,0.0003,-0.11155827529728413,66.1460694462061,0.2,3480,0.053186685,0.411181640625,0.9494893960654736,12.531580924987793,-0.006860600333311595,0.24700891971588135
254,716800,451,150.0,-90.83339197,56,0.0003,-0.14505217894911765,38.38920683115721,0.2,3490,0.319487,0.55576171875,0.9550481736660004,7.37946891784668,0.016019995756505524,0.24888496100902557
258,718848,450,150.0,-89.41670916,57,0.0003,-0.1976608034223318,14.972350157797337,0.2,3500,0.33068866,0.547412109375,0.9728690758347511,4.437668800354004,0.027387621205707546,0.2505493760108948
263,720896,450,150.0,-91.84195689,58,0.0003,-0.19934947080910206,9.390039481036364,0.2,3510,0.18563846,0.60693359375,0.9835359957069159,3.188697338104248,0.02369419362512417,0.24887876212596893
267,722944,451,150.0,-93.90204935000001,59,0.0003,-0.17744199894368648,33.778193201124665,0.2,3520,0.073006414,0.406298828125,0.9239944592118263,5.897843837738037,0.023834590120532084,0.2486705631017685
272,724992,450,150.0,-103.32727292000001,60,0.0003,-0.17307403199374677,73.35628584623336,0.2,3530,0.041933544,0.309716796875,0.9136485680937767,28.71607780456543,-0.010660738551814574,0.24850909411907196
277,727040,450,150.0,-98.25379826999998,61,0.0003,-0.1748839423060417,80.75206881165505,0.2,3540,0.035046164,0.285498046875,0.9261320605874062,15.600835800170898,-0.009375207567063625,0.24908329546451569
281,729088,450,150.0,-102.66504138,62,0.0003,-0.18558391891419887,18.462649728357793,0.2,3550,0.3140778,0.50126953125,0.9483106099069118,6.6051411628723145,0.017038093749943074,0.2487936019897461
286,731136,450,150.0,-107.29803579,63,0.0003,-0.1669694148004055,83.92520449161529,0.2,3560,0.04157369,0.3654296875,0.9465545453131199,15.784804344177246,-0.014383752886351431,0.24793027341365814
290,733184,451,150.0,-115.58075847,64,0.0003,-0.15640505105257035,108.34486262798309,0.2,3570,0.04108244,0.29697265625,0.9115781337022781,26.833250045776367,-0.006441857959725894,0.24808117747306824
295,735232,451,150.0,-118.32674849999998,65,0.0003,-0.18835123665630818,22.88864754885435,0.2,3580,0.117631555,0.51337890625,0.9750772248953581,3.018397808074951,0.008065210326458327,0.250188410282135
299,737280,451,150.0,-117.18709751,66,0.0003,-0.19408741630613804,60.51761404275894,0.2,3590,0.08154284,0.391748046875,0.9229454696178436,7.900774002075195,0.003759722826362122,0.2486933320760727
