time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/entropy_loss,train/std,train/clip_range,train/explained_variance
386,577536,86,150.0,455,-92.83932888000001,0.00751209998561535,2810,60.93960512429476,0.1973794,0.4052734375,6.6102986335754395,0.0003,0.46708563398569825,0.2277096062898636,0.2,0.9294005930423737
391,579584,87,150.0,455,-96.28423737000001,0.016264089665492067,2820,34.98000005632639,0.15502648,0.52470703125,35.597564697265625,0.0003,0.4432367842644453,0.22787503898143768,0.2,0.9590788446366787
395,581632,88,150.0,455,-98.28430396,0.0015581558749545366,2830,51.342254635691646,0.065830216,0.440087890625,7.002577304840088,0.0003,0.44597173631191256,0.2275756299495697,0.2,0.9514117501676083
399,583680,89,150.0,456,-96.67549315000001,0.008003984048991697,2840,46.13553625792265,0.5776838,0.471484375,12.978092193603516,0.0003,0.43721275627613065,0.2285582721233368,0.2,0.9539705030620098
403,585728,90,150.0,456,-100.80235601,0.012373586350440747,2850,43.942653477936986,0.10472037,0.527001953125,53.13160705566406,0.0003,0.41567852403968575,0.22907164692878723,0.2,0.9524880163371563
408,587776,91,150.0,456,-98.6658728,0.003651221362815704,2860,34.34465732052922,0.20852631,0.520751953125,7.853524684906006,0.0003,0.4053213568404317,0.22865673899650574,0.2,0.9634075798094273
412,589824,92,150.0,456,-95.95826288999999,0.01826998591714073,2870,15.845774061977863,0.6523547,0.646533203125,1.0499248504638672,0.0003,0.411982436850667,0.22897692024707794,0.2,0.9872859651222825
417,591872,93,150.0,455,-95.76420522000001,0.009219609026331455,2880,21.32681747302413,0.5134375,0.56591796875,4.797320365905762,0.0003,0.39752338621765376,0.2293471395969391,0.2,0.9745715074241161
422,593920,94,150.0,455,-88.5200049,0.01312610292370664,2890,43.52613186649978,0.2866893,0.4578125,23.5113468170166,0.0003,0.37861498445272446,0.2308357059955597,0.2,0.963740274310112
426,595968,95,150.0,456,-93.63822970999998,0.003786278230836615,2900,59.470812547206876,0.06738692,0.373095703125,14.713713645935059,0.0003,0.3630860272794962,0.22986158728599548,0.2,0.9241761118173599
430,598016,96,150.0,456,-90.60451366,0.0074269723103498105,2910,46.082884679734704,0.096475616,0.412451171875,11.51701831817627,0.0003,0.3795899637043476,0.23012752830982208,0.2,0.9528947174549103
435,600064,97,150.0,455,-87.56846004,0.022140958144154864,2920,11.383768111094833,0.43392906,0.683984375,0.45256125926971436,0.0003,0.3718095377087593,0.230422243475914,0.2,0.9684901125729084
440,602112,98,150.0,455,-87.53742239000002,-0.0006020917164278217,2930,75.72622294276952,0.06409167,0.378466796875,13.432160377502441,0.0003,0.35884498357772826,0.23116670548915863,0.2,0.9480279199779034
